u,v,key,osmid,highway,lanes,maxspeed,name,oneway,ref,reversed,length,geometry,speed_kph,travel_time,road_edge_id,original_u,original_v,original_key,original_osmid,road_node_u,road_node_v,bridge,tunnel,access,junction
1807828276,1807828273,0,169616148,motorway_link,,,,True,,False,194.27849276675428,"LINESTRING (116.4387081 39.9904489, 116.4373702 39.989034)",51.666666666666664,13.536824012135138,edge_000454,1807828276,1807828273,0,169616148,node_000404,node_000400,,,,
1807828276,1807828116,0,"[1410495872, 169616129, 169616116]",motorway,3,120,京承高速,True,S11,False,460.78795114309276,"LINESTRING (116.4387081 39.9904489, 116.4369204 39.9877122, 116.4368208 39.9875545, 116.4362894 39.9867424)",120.0,13.823638534292781,edge_000455,1807828276,1807828116,0,"[1410495872, 169616129, 169616116]",node_000404,node_000346,yes,,,
9424307510,1851958736,0,"[174524113, 174524110]","['primary_link', 'motorway_link']",,,,True,,False,365.65237670585236,"LINESTRING (116.1514357 40.1292302, 116.1514659 40.1284569, 116.1514584 40.1277491, 116.1514664 40.1272586, 116.1514786 40.1268619, 116.1514501 40.126646, 116.1513984 40.1264946, 116.1513346 40.1263418, 116.1512343 40.1261637, 116.151106 40.1259989)",60.0,21.939142602351144,edge_000456,9424307510,1851958736,0,"[174524113, 174524110]",node_000405,node_003361,,,,
1837712703,1837712682,0,"[30880133, 30880134]","['primary_link', 'motorway_link']",,,,True,,False,283.10771223473205,"LINESTRING (116.5286406 39.9402534, 116.5297138 39.9401541, 116.5313989 39.9399792, 116.5319342 39.9399292)",60.0,16.986462734083922,edge_000457,1837712703,1837712682,0,"[30880133, 30880134]",node_000407,node_000396,yes,,,
1837712704,1837712708,0,"[175420546, 175420506]",motorway,3,,姚家园路,True,G0121,False,543.6128484327835,"LINESTRING (116.5472443 39.9403215, 116.5461309 39.9403542, 116.541694 39.9403533, 116.5408688 39.9403576)",103.4102564102564,18.924682350598268,edge_000458,1837712704,1837712708,0,"[175420546, 175420506]",node_000408,node_000416,yes,,,
1074578753,8066689793,0,"[92623065, 92623051, 92623045]",motorway_link,,,,True,,False,431.67314767384823,"LINESTRING (116.5400493 39.8465478, 116.5381773 39.8453905, 116.5380192 39.8453252, 116.5378126 39.8452692, 116.5376738 39.8452326, 116.5374702 39.8452326, 116.5373091 39.8452577, 116.5371167 39.8453195, 116.5369353 39.8454043, 116.5358224 39.8459473)",51.666666666666664,30.07787093469394,edge_000459,1074578753,8066689793,0,"[92623065, 92623051, 92623045]",node_000409,node_003855,yes,,,
1074578753,384252945,0,865448531,motorway_link,,,,True,,False,273.79171741725577,"LINESTRING (116.5400493 39.8465478, 116.5378965 39.8450123, 116.537713 39.8448617)",51.666666666666664,19.07710031036363,edge_000460,1074578753,384252945,0,865448531,node_000409,node_005555,,,,
9424307522,4551069489,0,459197600,motorway_link,,,,True,,False,494.30194188444875,"LINESTRING (116.233991 40.119619, 116.2344331 40.1178369, 116.2350421 40.1155693, 116.235241 40.1152917)",51.666666666666664,34.44168369259385,edge_000461,9424307522,4551069489,0,459197600,node_000410,node_001165,,,,
9424307523,4551069493,0,459197602,motorway_link,,,,True,,False,13.970480838528493,"LINESTRING (116.234757 40.1196884, 116.2347235 40.1198114)",51.666666666666664,0.9734270519748885,edge_000462,9424307523,4551069493,0,459197602,node_000411,node_001167,,,,
387155267,11710004487,0,114637118,trunk,,,西三环,True,,False,125.81927728622793,"LINESTRING (116.3042804 39.9067359, 116.304272 39.9078674)",72.99638989169675,6.205093140940974,edge_000463,387155267,11710004487,0,114637118,node_000412,node_005628,yes,,,
387155267,11710004478,0,1259566992,trunk_link,,,,True,,False,76.97177376968489,"LINESTRING (116.3042804 39.9067359, 116.3043535 39.9068189, 116.3043591 39.9071121, 116.3043803 39.9071599, 116.3044529 39.9072337, 116.3045249 39.9072786, 116.3046274 39.9073101)",48.75,5.6840694476074995,edge_000464,387155267,11710004478,0,1259566992,node_000412,node_005616,yes,,,
345589058,1317216454,0,723907156,trunk,,,朝阳门外大街,True,G102,False,443.0816445515156,"LINESTRING (116.4466498 39.920193, 116.4467086 39.9201659, 116.4468387 39.9201059, 116.4470045 39.9200518, 116.4515675 39.9189218)",72.99638989169675,21.851682292125194,edge_000465,345589058,1317216454,0,723907156,node_000413,node_002774,,,,
2515879234,11091158892,0,244247165,trunk,,,南二环,True,,False,8.671582591969633,"LINESTRING (116.4146305 39.8697667, 116.4147319 39.8697717)",72.99638989169675,0.42766083880871014,edge_000466,2515879234,11091158892,0,244247165,node_000414,node_003515,,,,
387155271,387155276,0,33803489,trunk_link,,,,True,,False,177.02966148125878,"LINESTRING (116.3064196 39.9070463, 116.3064875 39.9069105, 116.306529 39.9068261, 116.306552 39.9067468, 116.3065542 39.9066833, 116.306542 39.9066291, 116.3065264 39.9065806, 116.3065052 39.906532, 116.306474 39.9064884, 116.3064345 39.9064452, 116.3063755 39.9064005, 116.3063218 39.9063711, 116.3062485 39.9063437, 116.3061661 39.9063302, 116.3055091 39.9063231, 116.3052522 39.9062581)",48.75,13.072959617077572,edge_000467,387155271,387155276,0,33803489,node_000415,node_000418,yes,,,
387155271,11710004478,0,47500140,trunk_link,,,,False,,False,161.7835763538427,"LINESTRING (116.3064196 39.9070463, 116.3063658 39.9070926, 116.3062975 39.9071411, 116.3062119 39.9071922, 116.3061204 39.9072342, 116.3060379 39.9072627, 116.3059512 39.907284, 116.3058702 39.9072958, 116.3057878 39.9073052, 116.3056973 39.9073069, 116.3046274 39.9073101)",48.75,11.947094869206847,edge_000468,387155271,11710004478,0,47500140,node_000415,node_005616,yes,,,
1837712708,343337933,0,"[172936633, 175420493]",motorway_link,,,,True,,False,710.3517527477175,"LINESTRING (116.5408688 39.9403576, 116.5397766 39.940429, 116.5390398 39.9404625, 116.5385825 39.9405058, 116.5382011 39.9405995, 116.5379089 39.9407135, 116.5376342 39.9408584, 116.5368954 39.9412852, 116.5366242 39.9414717, 116.5361832 39.9418446, 116.5346525 39.9433193, 116.534275 39.9436481)",51.666666666666664,49.49547696564741,edge_000469,1837712708,343337933,0,"[172936633, 175420493]",node_000416,node_003953,yes,,,
1837712708,1837724982,0,175420545,motorway,3,,姚家园路,True,G0121,False,446.3562110568945,"LINESTRING (116.5408688 39.9403576, 116.537214 39.940372, 116.5356333 39.9403767)",103.4102564102564,15.538907025139597,edge_000470,1837712708,1837724982,0,175420545,node_000416,node_004783,,,,
387155276,387155347,0,114637125,trunk,,,复兴路,True,G108,False,197.0063481936416,"LINESTRING (116.3052522 39.9062581, 116.3040279 39.9062725, 116.3029427 39.9062743)",72.99638989169675,9.715862038511347,edge_000471,387155276,387155347,0,114637125,node_000418,node_000445,,,,
387155277,387155384,0,114637121,trunk,,,复兴路,True,G108,False,240.730003932365,"LINESTRING (116.3052423 39.9061184, 116.3080644 39.9061403)",72.99638989169675,11.872203754765302,edge_000472,387155277,387155384,0,114637121,node_000419,node_000463,yes,,,
387155277,387155281,0,33803490,trunk_link,,,,True,,False,184.39312258114256,"LINESTRING (116.3052423 39.9061184, 116.3054945 39.9060614, 116.3059004 39.9060625, 116.3060588 39.9060605, 116.3061864 39.9060479, 116.3062868 39.9060234, 116.3063797 39.9059754, 116.3064587 39.9059147, 116.306496 39.9058616, 116.3065295 39.9058012, 116.3065529 39.905734, 116.3065538 39.905659, 116.3065384 39.9055755, 116.3065055 39.9054909, 116.3063732 39.9052852)",48.75,13.61672289829976,edge_000473,387155277,387155281,0,33803490,node_000419,node_000421,yes,,,
345589069,10676277830,0,723907156,trunk,,,朝阳门外大街,True,G102,False,313.6819374398428,"LINESTRING (116.4516998 39.9188873, 116.4551869 39.9179899)",72.99638989169675,15.470011276706789,edge_000474,345589069,10676277830,0,723907156,node_000420,node_001548,,,,
387155281,11710004497,0,33803510,trunk_link,,,,False,,True,155.32236453363072,"LINESTRING (116.3063732 39.9052852, 116.3062984 39.905227, 116.3062252 39.9051801, 116.3061446 39.9051436, 116.3060603 39.9051088, 116.3059727 39.9050841, 116.3058876 39.9050689, 116.3057809 39.905057, 116.3046398 39.9050487)",48.75,11.469959227098883,edge_000475,387155281,11710004497,0,33803510,node_000421,node_005635,yes,,,
387155281,387155384,0,33803511,trunk_link,,,,True,,False,187.28453013521732,"LINESTRING (116.3063732 39.9052852, 116.3065287 39.9054142, 116.3069814 39.9059177, 116.3070564 39.9059891, 116.3071139 39.9060312, 116.307169 39.9060546, 116.3072204 39.9060669, 116.3078075 39.9060884, 116.3080644 39.9061403)",48.75,13.830242225369894,edge_000476,387155281,387155384,0,33803511,node_000421,node_000463,yes,,,
345589075,10676184557,0,150595805,trunk,,,朝阳路,True,G102,False,717.9027526391653,"LINESTRING (116.4557165 39.917803, 116.4565857 39.9174856, 116.4592547 39.9165492, 116.4622058 39.9155034, 116.4627007 39.9153603, 116.4631275 39.9152701, 116.4631847 39.9152577, 116.4634144 39.9152095)",72.99638989169675,35.40517432897011,edge_000477,345589075,10676184557,0,150595805,node_000422,node_003369,,,,
320472404,331006801,0,"[42746888, 42746856, 30052122]",motorway,3,,南五环,True,S50,False,1835.942398504668,"LINESTRING (116.4516761 39.7895628, 116.4527102 39.7898095, 116.4538141 39.79011, 116.4545977 39.7903865, 116.4554614 39.7907553, 116.4563261 39.7912052, 116.4571333 39.7916893, 116.4584073 39.7926094, 116.4585831 39.7927608, 116.4596467 39.7937835, 116.4614478 39.7956743, 116.4626924 39.7969608, 116.4656528 39.8001118, 116.4664829 39.8009839)",103.4102564102564,63.91428533351238,edge_000478,320472404,331006801,0,"[42746888, 42746856, 30052122]",node_000423,node_000268,yes,,,
1074578774,1074578621,0,865448523,motorway_link,,,,True,,False,85.88140923949817,"LINESTRING (116.540445 39.8456927, 116.5405525 39.8460402, 116.5406376 39.8461929, 116.5407787 39.8464172)",51.666666666666664,5.983994966365033,edge_000479,1074578774,1074578621,0,865448523,node_000424,node_000357,,,,
1182696794,1182696858,0,"[102413688, 334488837]",motorway_link,,,,True,,False,533.7124382981096,"LINESTRING (116.1308724 39.7498243, 116.1317998 39.7503192, 116.1324048 39.750691, 116.1326197 39.7508059, 116.1328501 39.7508996, 116.1332663 39.7510299, 116.1334877 39.751103, 116.1337375 39.7512013, 116.1339589 39.7513144, 116.134173 39.7514367, 116.1347192 39.7517819, 116.1355979 39.7523748, 116.1357287 39.752441, 116.1359897 39.7525208)",51.666666666666664,37.18770537819087,edge_000480,1182696794,1182696858,0,"[102413688, 334488837]",node_000425,node_000447,,,,
1182696794,1940022522,0,"[102413724, 183789587, 102413707]",motorway,3,,京港澳高速公路,True,G4,False,812.831014490079,"LINESTRING (116.1308724 39.7498243, 116.1357245 39.7531352, 116.1359168 39.7532675, 116.137979 39.7546806)",103.4102564102564,28.296919026632064,edge_000481,1182696794,1940022522,0,"[102413724, 183789587, 102413707]",node_000425,node_003282,yes,,,
342803804,9033666118,0,127843729,trunk,,,西长安街,True,,False,102.40938736580105,"LINESTRING (116.3753715 39.9056751, 116.3762845 39.9056759, 116.3765721 39.9056775)",72.99638989169675,5.0505757211264495,edge_000482,342803804,9033666118,0,127843729,node_000426,node_001116,,,,
