osmid,y,x,street_count,road_node_id,original_node_id,highway,ref,junction,geometry
610908274,40.0098008,116.3566085,3,node_005176,610908274,,,,POINT (116.3566085 40.0098008)
1353562227,40.0540522,116.5863826,3,node_005178,1353562227,,,,POINT (116.5863826 40.0540522)
6015613043,39.7169753,116.3795902,3,node_005180,6015613043,,,,POINT (116.3795902 39.7169753)
534575220,39.8103337,116.1973752,3,node_005183,534575220,,,,POINT (116.1973752 39.8103337)
1808447610,40.0426836,116.6104914,4,node_005184,1808447610,,,,POINT (116.6104914 40.0426836)
534575221,39.8110532,116.1986221,3,node_005185,534575221,,,,POINT (116.1986221 39.8110532)
6015613046,39.7186266,116.3814727,3,node_005186,6015613046,,,,POINT (116.3814727 39.7186266)
534575223,39.814973,116.2024492,3,node_005187,534575223,,,,POINT (116.2024492 39.814973)
388003966,39.997585,116.4442724,3,node_005188,388003966,,,,POINT (116.4442724 39.997585)
1808447618,40.0428151,116.6117292,4,node_005189,1808447618,traffic_signals,,,POINT (116.6117292 40.0428151)
1667135623,39.9981701,116.4939244,3,node_005190,1667135623,,,,POINT (116.4939244 39.9981701)
1667004552,40.0247749,116.5405016,3,node_005191,1667004552,motorway_junction,5,,POINT (116.5405016 40.0247749)
6015613065,39.7159235,116.377796,3,node_005192,6015613065,,,,POINT (116.377796 39.7159235)
1667004554,40.0259337,116.5438585,3,node_005193,1667004554,,,,POINT (116.5438585 40.0259337)
5843417227,40.0050575,116.7560407,1,node_005194,5843417227,,,,POINT (116.7560407 40.0050575)
1359329420,39.9795686,116.3742542,3,node_005195,1359329420,motorway_junction,1B,,POINT (116.3742542 39.9795686)
9722443917,39.8817406,116.4385664,3,node_005196,9722443917,,,,POINT (116.4385664 39.8817406)
1359329421,39.9800392,116.3743096,3,node_005197,1359329421,traffic_signals,,,POINT (116.3743096 39.9800392)
644610192,40.0020942,116.2581861,3,node_005198,644610192,motorway_junction,39,,POINT (116.2581861 40.0020942)
6015613073,39.7136649,116.3787373,3,node_005199,6015613073,,,,POINT (116.3787373 39.7136649)
5843417235,40.0045098,116.7338282,3,node_005200,5843417235,motorway_junction,19,,POINT (116.7338282 40.0045098)
1891399829,39.9242028,116.2060456,3,node_005201,1891399829,motorway_junction,34A,,POINT (116.2060456 39.9242028)
1736505495,39.9500725,116.4385807,4,node_005202,1736505495,traffic_signals,,,POINT (116.4385807 39.9500725)
5843417239,39.999444,116.7152888,3,node_005203,5843417239,,,,POINT (116.7152888 39.999444)
610908313,40.0125464,116.3544606,3,node_005204,610908313,,,,POINT (116.3544606 40.0125464)
1359329434,39.9810874,116.3739763,3,node_005205,1359329434,,,,POINT (116.3739763 39.9810874)
1736505498,39.9523768,116.4436459,3,node_005206,1736505498,,,,POINT (116.4436459 39.9523768)
1667135643,39.9990629,116.496089,3,node_005207,1667135643,,,,POINT (116.496089 39.9990629)
5843417245,39.9957407,116.6960463,3,node_005208,5843417245,motorway_junction,,,POINT (116.6960463 39.9957407)
1359329439,39.9827269,116.372984,3,node_005209,1359329439,traffic_signals,,,POINT (116.372984 39.9827269)
530659490,39.8927246,116.3421001,4,node_005210,530659490,,,,POINT (116.3421001 39.8927246)
10573822115,39.7894285,116.2602159,3,node_005211,10573822115,,,,POINT (116.2602159 39.7894285)
1808447654,40.0519427,116.5848379,3,node_005212,1808447654,,,,POINT (116.5848379 40.0519427)
5843417255,40.0044692,116.7567038,1,node_005213,5843417255,,,,POINT (116.7567038 40.0044692)
1359329448,39.9836227,116.3729047,3,node_005214,1359329448,motorway_junction,1B,,POINT (116.3729047 39.9836227)
239433899,40.0135261,116.4738747,3,node_005215,239433899,motorway_junction,2A,,POINT (116.4738747 40.0135261)
1891399853,39.9246511,116.2077889,3,node_005216,1891399853,,,,POINT (116.2077889 39.9246511)
2423797934,39.9914942,116.4402144,3,node_005217,2423797934,motorway_junction,2,,POINT (116.4402144 39.9914942)
1359329454,39.9843084,116.3726884,3,node_005218,1359329454,,,,POINT (116.3726884 39.9843084)
2423797937,39.9899867,116.439246,3,node_005219,2423797937,,,,POINT (116.439246 39.9899867)
10573822130,39.7953221,116.2606404,3,node_005220,10573822130,,,,POINT (116.2606404 39.7953221)
1808447666,40.052548,116.5847194,3,node_005221,1808447666,,,,POINT (116.5847194 40.052548)
1497364657,39.9810877,116.3020657,5,node_005222,1497364657,,,,POINT (116.3020657 39.9810877)
5843417267,39.9992534,116.7153041,3,node_005223,5843417267,motorway_junction,19,,POINT (116.7153041 39.9992534)
2423797942,39.9928542,116.4413768,4,node_005224,2423797942,,,,POINT (116.4413768 39.9928542)
10573822135,39.7952845,116.2604734,3,node_005225,10573822135,motorway_junction,27,,POINT (116.2604734 39.7952845)
5843417272,39.995472,116.6989732,3,node_005226,5843417272,,,,POINT (116.6989732 39.995472)
1353562304,40.0548198,116.5902355,3,node_005227,1353562304,,,,POINT (116.5902355 40.0548198)
1808447681,40.0528051,116.5855956,4,node_005228,1808447681,,,,POINT (116.5855956 40.0528051)
5752027328,39.7163478,116.4420704,3,node_005229,5752027328,motorway_junction,7,,POINT (116.4420704 39.7163478)
1497364682,39.9811677,116.3020961,4,node_005230,1497364682,,,,POINT (116.3020961 39.9811677)
1808447694,40.0535986,116.5842117,3,node_005231,1808447694,,,,POINT (116.5842117 40.0535986)
1634302167,39.9633369,116.4373309,3,node_005232,1634302167,,,,POINT (116.4373309 39.9633369)
1891416285,39.942468,116.2060684,3,node_005233,1891416285,motorway_junction,35B,,POINT (116.2060684 39.942468)
1634302173,39.9646458,116.4358741,3,node_005234,1634302173,,,,POINT (116.4358741 39.9646458)
1891416288,39.9430435,116.2064002,3,node_005235,1891416288,,,,POINT (116.2064002 39.9430435)
