road_edge_id,original_u,original_v,original_key,original_osmid,road_node_u,road_node_v
edge_005251,2578101032,9125558904,0,1141461552,node_004564,node_005387
edge_005252,1890448170,1014897383,0,"[87287312, 87287330, 87287351]",node_004565,node_002310
edge_005253,1890448170,1014897022,0,"[87287456, 87287457]",node_004565,node_002190
edge_005254,605369133,605369157,0,47578104,node_004566,node_004583
edge_005255,605369133,605368607,0,508340258,node_004566,node_004374
edge_005256,9296278317,9671455195,0,"[30041862, 226280295]",node_004567,node_004445
edge_005257,1421587247,1367439196,0,"[176576450, 176576453]",node_004568,node_005035
edge_005258,1890448173,1890448163,0,"[87287363, 87287406, 87287375, 87287311, 87287439, 87287314, 87287383]",node_004569,node_004562
edge_005259,9296278320,9296278321,0,30041876,node_004570,node_004571
edge_005260,9296278321,9296278345,0,226280298,node_004571,node_004589
edge_005261,9296278322,9296278317,0,226280297,node_004572,node_004567
edge_005262,419328821,605860458,0,1302654951,node_004574,node_004488
edge_005263,419328822,9481005447,0,139831169,node_004575,node_003706
edge_005264,419328824,605312750,0,139831159,node_004576,node_001930
edge_005265,3458741051,12033764717,0,1299088246,node_004577,node_004104
edge_005266,419328829,419328839,0,238470231,node_004579,node_004587
edge_005267,419328828,2813471016,0,139831157,node_004580,node_003676
edge_005268,1421587263,1421587289,0,128690885,node_004581,node_004600
edge_005269,2290922309,605287830,0,"[219963960, 202626009, 391813843]",node_004582,node_004807
edge_005270,605369157,605368723,0,"[47578104, 205395382, 205395375]",node_004583,node_004419
edge_005271,2578101063,2578101070,0,251617393,node_004584,node_004591
edge_005272,419328837,2463014790,0,1262458221,node_004585,node_002674
edge_005273,419328838,4583502075,0,"[1259391844, 1467640123, 1467640124]",node_004586,node_004363
edge_005274,419328839,3691210078,0,238470231,node_004587,node_003321
edge_005275,9296278344,10048484059,0,243051696,node_004588,node_004531
edge_005276,9296278345,9296278346,0,243051697,node_004589,node_004590
edge_005277,9296278346,746964268,0,226280299,node_004590,node_000398
edge_005278,2578101070,2578101072,0,1156009678,node_004591,node_004593
edge_005279,9296278347,9296278344,0,190414349,node_004592,node_004588
edge_005280,2578101072,606973083,0,1156009678,node_004593,node_004027
edge_005281,419328847,7278878349,0,"[838047025, 838047026, 740855973]",node_004594,node_002590
edge_005282,1421587283,1421587286,0,"[128690905, 727275044]",node_004595,node_004597
edge_005283,9150886741,9150886755,0,183822175,node_004596,node_004609
edge_005284,9150886741,534575223,0,183822175,node_004596,node_005187
edge_005285,1421587286,1421587291,0,128690905,node_004597,node_004601
edge_005286,1421587286,1421587208,0,"[170261273, 128690926]",node_004597,node_004541
edge_005287,1890448214,1890448173,0,"[87287304, 87287363, 87287454]",node_004598,node_004569
edge_005288,1890448214,1014897022,0,178695222,node_004598,node_002190
edge_005289,9150886742,9150886755,0,183822175,node_004599,node_004609
edge_005290,9150886742,9150886760,0,183822175,node_004599,node_004611
edge_005291,1421587289,1421587296,0,176576459,node_004600,node_004604
edge_005292,1421587291,1421587297,0,"[128690924, 1159702405, 1159696134]",node_004601,node_004605
edge_005293,2290922332,5356987687,0,"[219963924, 969653757]",node_004602,node_003294
edge_005294,2290922332,2125894767,0,219963977,node_004602,node_001733
edge_005295,239432543,1367439180,0,121988943,node_004603,node_005027
edge_005296,1421587296,1421587283,0,128690892,node_004604,node_004595
edge_005297,1421587296,30993612,0,"[128690886, 176576459, 128690893, 128690877, 128690878]",node_004604,node_004040
edge_005298,1421587297,1421587298,0,128690909,node_004605,node_004606
edge_005299,1421587297,1421587236,0,"[170261277, 128690927]",node_004605,node_004559
edge_005300,1421587298,1421587299,0,"[48051882, 128690909]",node_004606,node_004607
edge_005301,1421587299,30993612,0,128690881,node_004607,node_004040
edge_005302,2290922337,321579961,0,"[219963971, 219963974, 219963975, 219963979, 202622702]",node_004608,node_003949
edge_005303,9150886755,9150886742,0,183822175,node_004609,node_004599
edge_005304,9150886755,9150886741,0,183822175,node_004609,node_004596
edge_005305,733967206,1300406537,0,"[114917322, 114917276]",node_004610,node_002812
edge_005306,733967206,9671452040,0,"[30041908, 1066499935]",node_004610,node_003338
edge_005307,9150886760,9150886769,0,183822175,node_004611,node_004616
edge_005308,9150886760,9150886742,0,183822175,node_004611,node_004599
edge_005309,1421587305,1718880568,0,159783466,node_004612,node_000697
