road_node_id,original_node_id,x,y
node_000254,11707630348,116.6708346,39.8760808
node_000255,754516750,116.3411014,39.8964144
node_000256,320471828,116.4749891,39.8094536
node_000257,644629273,116.4204514,39.7818427
node_000258,384107291,116.439381,39.8819835
node_000259,607314536,116.2100457,39.9512361
node_000260,320471840,116.4516545,39.7897372
node_000261,754516776,116.3428177,39.8939332
node_000262,10911073064,116.1182274,39.9371884
node_000263,10911073068,116.1179572,39.9374741
node_000264,1410728758,116.3043596,39.8857929
node_000265,321717056,116.6895054,39.9981576
node_000266,9202467650,116.0813084,39.6902951
node_000267,1410728778,116.3043067,39.8941882
node_000268,331006801,116.4664829,39.8009839
node_000269,3688760155,116.5997663,39.9114367
node_000270,3688760156,116.5998619,39.9114431
node_000271,1410728815,116.3044392,39.8953983
node_000272,604881779,116.3040028,39.9448545
node_000273,9034744694,116.2524126,39.9062513
node_000274,9034744696,116.2503565,39.90625
node_000275,529548154,116.2838556,39.8758936
node_000276,72860539,116.5181474,40.0169984
node_000277,9034744698,116.2488223,39.906249
node_000278,610845569,116.2757945,40.1113594
node_000279,529974154,116.3971537,39.8703342
node_000280,9293415310,116.5423082,39.7093565
node_000281,264602514,116.5724857,40.0421929
node_000282,529974162,116.3618064,39.8681325
node_000283,264602517,116.5699691,40.0423577
node_000284,529974165,116.3793123,39.8694844
node_000285,13470761880,116.6814317,39.922247
node_000286,529974169,116.3907244,39.8699307
node_000287,529974170,116.3956148,39.8701512
node_000288,264602526,116.5714055,40.0422106
node_000289,13470761887,116.6811249,39.9222531
node_000290,1410728863,116.3022049,39.895669
node_000291,1410728865,116.3006322,39.895671
node_000292,1410728867,116.3074661,39.8957038
node_000293,1410728871,116.3038271,39.895842
node_000294,1410728873,116.2998802,39.8958104
node_000295,1410728874,116.3071825,39.8958549
node_000296,1293140906,116.2765117,39.9762756
node_000297,1293140911,116.2779043,39.974747
node_000298,1410728881,116.2990256,39.8959992
node_000299,332612530,116.4426726,39.9838718
node_000300,273089459,116.4551302,39.8790601
node_000301,35554234,116.4558787,39.9501227
node_000302,2453816250,116.3946217,39.8460851
node_000303,1410728901,116.30444,39.8967755
node_000304,1410728903,116.304024,39.8966803
node_000305,1943225288,116.2822398,39.9456873
node_000306,1293140938,116.2800455,39.9743713
node_000307,4580033493,116.1549244,39.9233011
node_000308,6369346519,116.7028523,39.9858936
node_000309,237585368,116.3029555,40.0158058
node_000310,10636624859,116.0438566,39.8749434
node_000311,5963908071,116.7063487,39.6821549
node_000312,1807827948,116.435415,39.9837095
node_000313,5963908078,116.7570578,39.7129178
