node,road_node_id,original_node_id,x,y,unique_neighbor_count,neighbor_node,in_degree,out_degree,connected_edge_count,connected_road_edge_ids,connected_highway,connected_name,connected_total_length_m,connected_oneway,connected_bridge,connected_tunnel
8498012424,node_002811,8498012424,116.6468391,39.8441587,1,6585420180,0,1,1,edge_003249,"['motorway_link', 'secondary']",运粮引河路,655.5761727563366,TRUE,,
1300406537,node_002812,1300406537,116.4285925,39.9069472,1,733967206,1,0,1,edge_005305,"['tertiary', 'trunk_link']",,217.88864368610632,TRUE,,
332472595,node_002817,332472595,116.3933225,39.8588997,1,1858572361,1,0,1,edge_001468,trunk_link,,44.891872989427306,TRUE,,
12553658648,node_002822,12553658648,116.1272617,39.7740709,1,12553658649,0,1,1,edge_003263,trunk_link,,147.68895843333954,TRUE,,
12553658644,node_002824,12553658644,116.1321513,39.7739149,1,12553658645,1,0,1,edge_003260,trunk_link,,116.56920369804453,TRUE,,
12553658651,node_002826,12553658651,116.1273233,39.7744194,1,12553658650,1,0,1,edge_003269,trunk_link,,130.2292746419994,TRUE,,
12553658647,node_002829,12553658647,116.1325582,39.7742516,1,12553658646,0,1,1,edge_003270,trunk_link,,143.34111508585636,TRUE,,
3268419908,node_002835,3268419908,116.2491455,39.7680147,1,7223655217,1,0,1,edge_006303,trunk_link,,337.6750903714667,TRUE,yes,
11818148168,node_002837,11818148168,116.6175174,39.9129128,1,1408034506,1,0,1,edge_003997,trunk_link,,25.18860770234793,TRUE,,
331211092,node_002840,331211092,116.5056348,39.9064527,1,1977821489,0,1,1,edge_003283,motorway_link,,81.53304923851447,TRUE,,
331211100,node_002841,331211100,116.4960612,39.9065277,1,1977821490,1,0,1,edge_004265,motorway_link,,103.06899540291448,TRUE,,
11583971725,node_002856,11583971725,116.3385741,39.8147056,1,11583971726,0,1,1,edge_003304,motorway_link,,47.97608417891926,TRUE,,
746496428,node_002865,746496428,116.4569024,39.9745973,1,233759888,0,1,1,edge_003317,trunk_link,,66.37270372250339,TRUE,,
9722438110,node_002883,9722438110,116.4395753,39.8832395,1,384109151,1,0,1,edge_000951,trunk_link,,215.14852586005244,TRUE,yes,
7785619945,node_002887,7785619945,116.4473648,39.8315514,1,1230291517,0,1,1,edge_003341,trunk_link,,96.66621434203222,TRUE,,
7785619947,node_002889,7785619947,116.4487125,39.831721,1,7785619946,1,0,1,edge_003343,trunk_link,,109.77088062741477,TRUE,,
9081692667,node_002895,9081692667,116.3682121,39.8695319,1,9081692673,0,1,1,edge_003351,trunk_link,,12.576448284253978,TRUE,,
1532469761,node_002899,1532469761,116.3682766,39.855475,1,1532469763,1,0,1,edge_003356,trunk_link,,71.71746856092707,TRUE,,
4686651917,node_002906,4686651917,116.555084,40.1005035,1,381937509,1,0,1,edge_004066,trunk,京密路,44.183623295031815,TRUE,,
11978564134,node_002912,11978564134,116.7389425,39.8557508,1,11978564133,1,0,1,edge_003371,trunk_link,,27.054624946351247,TRUE,,
1406706228,node_002914,1406706228,116.5524834,39.8673067,1,1406706241,1,0,1,edge_003383,motorway_link,,45.817641079714974,TRUE,,
1417716293,node_002924,1417716293,116.2650678,39.8640046,1,1417716294,0,1,1,edge_003385,trunk_link,,120.7836340064561,TRUE,,
